titulo,url,duracion,tema
"ECUACIONES DIFERENCIALES desde cero",https://www.youtube.com/watch?v=MdKOjS8-oNw,45:30,"Ecuaciones diferenciales"
"Variables separables Ej 1",https://www.youtube.com/watch?v=A41Xtv_tatE,12:45,"Ecuaciones diferenciales"
"Variables separables Ej 2",https://www.youtube.com/watch?v=v3CsjgKeB7U,15:20,"Ecuaciones diferenciales"
"Factor integrante EDO lineal",https://www.youtube.com/watch?v=tG4XYi7M91A,22:10,"Ecuaciones diferenciales"
"Ecuaciones exactas factor integrante",https://www.youtube.com/watch?v=uKErqPcDrq8,28:30,"Ecuaciones diferenciales"
"EDO 5 minutos introducción",https://www.youtube.com/watch?v=kkcOt-c9RVI,05:12,"Ecuaciones diferenciales"
"Guía práctica resolver EDOs",https://www.youtube.com/watch?v=_EKDACRTUak,18:45,"Ecuaciones diferenciales"
"Introducción EDO Khan Academy",https://es.khanacademy.org/math/ap-calculus-bc/bc-advanced-functions-new/bc-9-9,10:30,"Ecuaciones diferenciales"
"Euler método numérico EDO",https://www.youtube.com/watch?v=3iL6r6r9w8E,20:15,"Ecuaciones diferenciales"
"EDO segundo orden homogénea",https://www.youtube.com/watch?v=7QvKzK8pQ0k,35:40,"Ecuaciones diferenciales"
"MathMasters_e - EDO Variables Separables",https://www.youtube.com/@MathMasters_e,15:00,"Ecuaciones diferenciales"
"MathMasters_e - Factor Integrante",https://www.youtube.com/@MathMasters_e,20:30,"Ecuaciones diferenciales"
"Derivadas básicas desde cero",https://www.youtube.com/watch?v=WuA8D5k8v3Q,25:10,"Derivadas"
"Regla cadena ejercicios resueltos",https://www.youtube.com/watch?v=5AThNlo_J_4,18:30,"Derivadas"
"Derivadas implícitas paso a paso",https://www.youtube.com/watch?v=2eA8zK9mP7s,22:00,"Derivadas"
"Derivadas exponenciales logarítmicas",https://www.youtube.com/watch?v=QpL8xK3nR4t,19:45,"Derivadas"
"Regla producto derivadas",https://www.youtube.com/watch?v=9mN7vB2xC5d,16:20,"Derivadas"
"Derivadas trigonométricas",https://www.youtube.com/watch?v=HjK4pL8qW3e,24:50,"Derivadas"
"Derivadas paramétricas ejemplos",https://www.youtube.com/watch?v=6rT9uY2vM8n,21:30,"Derivadas"
"Derivadas orden superior",https://www.youtube.com/watch?v=3pQ7kL5xZ9r,17:40,"Derivadas"
"MathMasters_e - Derivadas Avanzadas",https://www.youtube.com/@MathMasters_e,18:15,"Derivadas"
"Integrales indefinidas básicas",https://www.youtube.com/watch?v=8nR4tV6yB2m,28:15,"Integrales"
"Integrales por partes completa",https://www.youtube.com/watch?v=Y7uP3kQ9wE5r,32:40,"Integrales"
"Sustitución trigonométrica",https://www.youtube.com/watch?v=2mK8vL4pR7t,29:10,"Integrales"
"Fracciones parciales paso a paso",https://www.youtube.com/watch?v=5qW9nH3xJ6y,34:20,"Integrales"
"Integrales impropias ejemplos",https://www.youtube.com/watch?v=P8rT2vM4kL9u,27:50,"Integrales"
"Áreas bajo curvas integrales",https://www.youtube.com/watch?v=9eY6uB3nQ5p,23:30,"Integrales"
"Volúmenes revolución integrales",https://www.youtube.com/watch?v=J7mR4kP2vL8t,31:15,"Integrales"
"MathMasters_e - Integrales Múltiples",https://www.youtube.com/@MathMasters_e,25:45,"Integrales"
"Factorización diferencia cuadrados",https://www.youtube.com/watch?v=X9qW3eR6tY2u,14:20,"Factorización"
"Suma diferencia cubos perfectos",https://www.youtube.com/watch?v=B5nM8vP4kL7r,16:10,"Factorización"
"Trinomios cuadrados perfectos",https://www.youtube.com/watch?v=V2rT9uQ6yH3m,13:45,"Factorización"
"Factor común agrupación",https://www.youtube.com/watch?v=L8pK5wE9nR4t,12:30,"Factorización"
"Polinomios grado 4 factorización",https://www.youtube.com/watch?v=M7qW2vB6xJ9u,19:50,"Factorización"
"MathMasters_e - Factorización Compleja",https://www.youtube.com/@MathMasters_e,17:20,"Factorización"
"Habilidades EDO primer orden",https://www.youtube.com/watch?v=N4rT8uP3kL6y,26:40,"Habilidades EDO"
"Método Euler habilidades numéricas",https://www.youtube.com/watch?v=Q9eY5mR2vH8t,24:15,"Habilidades EDO"
"MathMasters_e - Transformada Laplace EDO",https://www.youtube.com/@MathMasters_e,30:10,"Habilidades EDO"